id,term,meaning
12,AfS,AFS
15,AIF,AIF
19,A-IRB,AIRB
25,AMML,ALMM
37,AT-1,AT1
70,CA-Template,CA
101,CET,CET1
103,CET-1,CET1
133,CoRep,COREP
134,CoREP,COREP
147,CRD4,CRD IV
148,CRDIV,CRD IV
149,CRD-IV,CRD IV
170,DC,DC
173,DFR,DFR
184,DG-L,DGL
185,DGLegal,DGL
186,DG-Legal,DGL
201,DG-SLA,DGL/SLA
188,DG-MS,DGMS
176,DG1,DGMS1
189,DGMS1,DGMS1
190,DG-MS1,DGMS1
191,DG-MS1or,DGMS1
177,DG2,DGMS2
192,DGMS2,DGMS2
193,DG-MS2,DGMS2
194,DGMS3,DGMS3
178,DG4,DGMS4
179,DG4for,DGMS4
181,DGIV,DGMS4
182,DG-IV,DGMS4
196,DG-MS4,DGMS4
197,DG-MSIV,DGMS4
198,DG-MS-IV,DGMS4
202,DG-SUP,DGS/SUP
705,SUP,DGS/SUP
214,DSSB,DGSSB
215,DSTI,DSTI
129,COM,EC
232,ECA,ECA
734,UE,EU
298,FiCoD,FICOD
305,F-IRB,FIRB
329,FVPL,FVTPL
340,GoC,GovC
397,IOSCO,IOSCO
407,IRRB,IRRBB
409,IRRBGB,IRRBB
418,ITSArticle,ITS
425,KfW,KfW
451,LR2,LR
452,LR4,LR
464,LU,LUX
467,LX,LUX
493,MR2,MR
500,MSD-SPO,MSD
529,NPloan,NPL
551,OSII,O-SII
556,P&L,P&L
557,P/E,P/E
595,RAF-Strategy,RAF
613,RoA,ROA
618,RREloan,RRE
664,SPE2,SPE
666,SPO4,SPO
667,SPOThe,SPO
656,SMM,SSM
679,SSM-ECB,SSM
681,SSM-FR,SSMFR
692,STE05,STE
693,STE06,STE
694,STE08,STE
695,STE09,STE
696,STE10,STE
697,STE13,STE
719,T-LTRO,TLTRO
731,UCIT,UCITS
733,UCSI,UCITS
739,USA,US
664,SPE2,SPE
734,UE,EU
740,abcp,asset backed commercial paper
741,abr,administrative board of review
742,abs,asset backed security
743,abspp,asset backed securities purchase programme
744,ach,automated clearing house
745,acpr,autorite de controle prudentiel et de resolution
746,ae-ass,asset encumbrance assets of the institution
747,afs,available for sale
748,ag,aktiengesellschaft
749,agm,annual general meeting
750,airb,advanced internal rating based approach
751,almm,additional liquidity monitoring metrics
752,ama,advanced measurement approach
753,amc,asset management company
754,aml,anti money laundering
755,anacredit,european analytical credit dataset (ecb proposal)
756,anfa,agreement on net financial assets
757,aqr,asset quality review
758,art,alternative risk transfer
759,aslp,automated security lending programme
760,at1,additional tier 1 [capital instrument]
761,aut,authorisation division
762,ava,additional valuation adjustment
763,avc,asset value correlation
764,bafin,german federal financial supervisory authority
765,bau,business of usual
766,bb,banking book
767,bcbs,basel committee on banking supervision
768,bcr,basic capital requirements
769,bdi,banca dâ€™italia
770,bia,basic indicator approach
771,bic,business identifier code
772,bis,bank for international settlements
773,bod,board of directors
774,bph,business practice handbook
775,bpi,banco bpi
776,bpm6,balance of payments and international investment position manual
777,brrd,bank recovery and resolution directive
778,bu,banking union
779,ca,comprehensive assessment
780,cape,cyclically adjusted price/earnings (ratio)
781,capm,capital asset pricing model
782,car,capital adequacy ratio
783,cas,capital adequacy statement
784,cboe,chicago board options exchange
